id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/test/Mercury_416593,"În anul 2014, o fisură într-un conduct de apă pluvială a eliberat mii de litri de cenușă de cărbune dintr-o centrală electrică dezafectată într-un râu. Scurgerea a avut loc în amonte de stațiile de tratare a apei care deservesc comunitățile de-a lungul râului. Cenușa de cărbune conține mai multe metale periculoase, inclusiv arsenic. Care etapă a procesului de tratare a apei este cea mai probabilă să elimine metalele periculoase din apă?",B,dezinfectarea,coagularea,aerarea,osmoza inversă,
ARC-Challenge/test/Mercury_SC_407382,O rață și o broască țestoasă sunt diferite tipuri de animale. În ce fel sunt asemănătoare rața și broasca țestoasă?,C,Ambele se reproduc prin ouă.,Ambele au pene.,Ambele hibernează.,Ambele produc lapte pentru puii lor.,
ARC-Challenge/test/MDSA_2008_8_3,Un student a împins o minge de cauciuc mare pe o suprafață plană și fără frecare. Minge a rulat cu o viteză de 1 metru pe secundă. Care afirmație descrie cel mai bine mișcarea mingii când studentul a oprit să o împingă?,D,Mingea a schimbat direcția.,Mingea nu s-a mișcat.,Mingea s-a accelerat.,Mingea a continuat să se miște în aceeași direcție.,
ARC-Challenge/test/Mercury_7069020,Care este prima linie de apărare în corpul uman împotriva infecțiilor și bolilor?,A,celulele roșii din sânge,vitaminele,pielea,celulele albe din sânge,
ARC-Challenge/test/Mercury_417143,Felipe a creat un model vizual al unui ecosistem de estuar pe un poster. El a colorat apa oceanului albastru și apa râului galben. Care ar fi cea mai bună culoare pe care ar putea să o utilizeze pentru a reprezenta vizual estuarul?,D,portocaliu,albastru,galben,verde,
ARC-Challenge/test/Mercury_180373,Cum se formează roci sedimentare?,B,Reacțiile chimice transformă mineralele.,Materiale sunt presate împreună.,Magma sau lava se răcesc.,Cutremurele determină bucăți mici să cadă.,
ARC-Challenge/test/Mercury_7133613,"Gândacul cactus a fost introdus deliberat în Australia în 1926 ca metodă biologică pentru controlarea cactușilor periculoși invazivi. Până la începutul anilor 1990, gândacul a migrat și în Florida Keys, venind din America de Sud, unde în scurt timp a eliminat cea mai mare parte a cactușilor semafor din regiune. Din acel moment, gândacul s-a adaptat la alte plante din Keys și a continuat să crească în număr. Care dintre proceduri ar reduce cel mai probabil populația de gândac cactus?",A,Introduceți un prădător al cactușilor.,Utilizați stropiri ample cu insecticide.,Eliberați gândaci sterili pentru a limita reproducerea.,Opriți importul tuturor tipurilor de plante.,
ARC-Challenge/test/Mercury_SC_415473,Un animal tânăr de ocean are doi părinți. Fiecare dintre părinți au opt brațe. Câte brațe are cel mai probabil animalul tânăr?,C,8,4,2,16,
ARC-Challenge/test/Mercury_7173583,Missy și Ethan au discutat exemple ale tipurilor de schimbări ale materiei. În care dintre următoarele exemple are loc o schimbare chimică?,C,Un tabărnic frige bezele pe deasupra focului.,Un cub de gheață se topește pe un blat.,O bucată de metal este tăiată în jumătate.,Un brutar amestecă faina și zahărul pentru a face aluat.,
ARC-Challenge/test/Mercury_7024798,Care dintre aceste caracteristici nu este influențată de mediul înconjurător al unui individ?,D,culoarea pielii,greutatea,înălțimea,culoarea ochilor,
ARC-Challenge/test/Mercury_SC_408324,"Scott a umplut o tavă cu suc și a pus-o în congelator. A doua zi, Scott a deschis congelatorul. Cum se presupune că s-a schimbat sucul?",D,A devenit un gaz.,S-a evaporat.,S-a condensat.,A devenit un solid.,
ARC-Challenge/test/Mercury_7093048,Îngrășămintele care ajung în ocean prin scurgerile de la ferme pot provoca o creștere a,C,reproducerea algelor.,populațiilor de animale.,precipitațiilor.,evaporarea apei oceanice.,
ARC-Challenge/test/MDSA_2007_5_16,Arborii sunt o resursă naturală regenerabilă. Care dintre aceste industrii are cel mai puțină nevoie de arbori?,A,peisagistică,construirea de case,fabricarea automobilelor,ziar,
ARC-Challenge/test/Mercury_7116183,Populația umană crește în fiecare zi. Cum afectează această creștere a populației resursele naturale care mențin oamenii?,B,duce la mai puțină cerere de resurse,reduce cantitatea de resurse,crește oferta de resurse,îmbunătățește calitatea resurselor,
ARC-Challenge/test/Mercury_7212818,Oamenii de ştiinţă prezintă rezultatele cercetărilor lor altora în scopul recenziei deoarece,B,se împiedică alţi oameni de ştiinţă să dubleze cercetările.,datele adesea susţin mai mult de o explicaţie.,oamenii trebuie să fie informaţi despre procesul ştiinţific.,se asigură că cercetătorii primesc creditul cuvenit.,
ARC-Challenge/test/Mercury_SC_415406,Un râu erodează malurile timp de mii de ani și depune materialul erodat la gura sa. Ce două forme de relief a creat râul?,B,un canion și o duna,un deltă și un canion,o colină și un deltă,o duna și un deltă,
ARC-Challenge/test/TIMSS_2007_8_pg109,Care dintre următoarele metode este cea mai bună pentru a determina dacă două persoane sunt înrudite?,C,Comparați genele lor.,Comparați scrisul lor de mână.,Comparați tipurile lor de sânge.,Comparați amprentele lor digitale.,
ARC-Challenge/test/MCAS_2003_8_29,Un inginer care proiectează un pod suspendat descoperă că va trebui să suporte de două ori mai multă greutate decât s-a estimat inițial. O modificare pe care inginerul trebuie să o facă pentru a menține siguranța este să crească,B,înălțimea turnurilor de susținere.,diametrul firelor în tensiune.,lungimea firelor în tensiune.,lungimea podului.,
ARC-Challenge/test/Mercury_7081743,"O echipă de cercetare descoperă o nouă specie de animal. Informațiile învățate despre acest animal ar ajuta cel mai bine cunoștințele științifice, dacă echipa de cercetare ar",B,discuta rezultatele științifice cu studenții.,prezenta informația comunității științifice.,publica un comunicat de presă la posturile locale de televiziune.,scrie o scrisoare editorului de știri locale.,
ARC-Challenge/test/MDSA_2011_5_23,Un elev a pregătit o prezentare pentru a demonstra modul în care apa schimbă suprafața Pământului. Ce prezentare ar demonstra cel mai bine modul în care apa schimbă suprafața Pământului?,D,o fotografie cu ceață care acoperă o vale muntoasă,un grafic al cantității de precipitații pe un lac,o schemă a lanțului trofic dintr-un râu,un model al unui pârâu care curge în josul unei pante,
ARC-Challenge/test/MDSA_2012_8_16,O parte din exploatarea cărbunelui are loc în subteran și nu afectează terenul de deasupra. Cum ar putea fi exploatarea cărbunelui care are loc în subteran mai puțin dăunătoare pentru mediul înconjurător decât exploatarea în suprafață?,B,Exploatarea cărbunelui din subteran crește dezvoltarea pădurilor.,Exploatarea cărbunelui din subteran reduce pierderea habitatului.,Exploatarea cărbunelui din subteran crește poluarea.,Exploatarea cărbunelui din subteran reduce populațiile de animale.,
ARC-Challenge/test/NCEOGA_2013_8_7,Care va fi cel mai probabil rezultat în cazul în care apare creșterea de undare la suprafața apei într-o zonă costieră?,A,temperaturi mai ridicate ale apei,mai puține substanțe nutritive în apă,mai multă viață acvatică,mai puține nitrați,
ARC-Challenge/test/TIMSS_1995_8_J7,Care este diferența dintre animalele cu sânge cald și cele cu sânge rece?,D,Animalele cu sânge cald au întotdeauna o temperatură mai mare a sângelui.,Animalele cu sânge cald sunt mai agresive în captivitate.,Animalele cu sânge cald au un metabolism mai ridicat în vreme caldă.,Animalele cu sânge cald mențin în mod normal o temperatură internă destul de constantă la toate temperaturile exterioare.,Animalele cu sânge cald se găsesc numai în zonele cu climă caldă.
ARC-Challenge/test/MCAS_2004_9_5,Tensiunea este menținută constantă într-un circuit electric. Ce se va întâmpla cu curentul în acest circuit dacă rezistența se dublează?,C,Curentul va fi redus la jumătate.,Curentul va fi dublat.,Curentul va fi triplat.,Curentul va rămâne la fel.,
ARC-Challenge/test/Mercury_7171430,Becurile electrice diferă în capacitatea lor de a utiliza eficient energia electrică. Alicia a comparat cantitatea de energie electrică necesară pentru a aprinde o bec incandescent și o bec fluorescent. Ce unități ar folosi Alicia pentru a compara consumul de energie electrică?,B,volți,jouli,newtoni,watt,
ARC-Challenge/test/MCAS_2005_8_6,"Recifele fosilizate de corali, pești și alte creaturi marine de apă caldă au fost descoperite în regiunile montane din New England. Care dintre următoarele explică cel mai bine cum s-ar putea fi întâmplat acest lucru?",A,Procesul de fosilizare a schimbat foarte mult materialul original.,Aceste creaturi erau mai bine adaptate la climatul rece în trecut.,Clima și geologia acestei zone s-au schimbat de-a lungul timpului.,Culegătorii au dus rămășițele acestor creaturi la regiuni mai înalte.,
ARC-Challenge/test/MCAS_2000_4_36,Care este una din căile NEPOTRIVITE de transport?,A,pista de aterizare,drumul,turnul de radio,conducta,
ARC-Challenge/test/Mercury_7030468,"Noile tehnologii au permis producătorilor de automobile să comercializeze mașini hibride eficiente din punct de vedere al consumului de combustibil, însă eliminarea acestora la sfârșitul duratei lor de viață ridică o problemă. Care dintre întrebări reprezintă o problemă de eliminare specifică vehiculelor hibride?",A,"Ce se va face cu fluidele din rezervorul de combustibil, radiator și baterii?",Ce se va face cu refrigerantul din sistemul de aer condiționat?,Ce se va face pentru a recicla bateriile?,Ce se va face cu materialele plastice din vehicule?,
ARC-Challenge/test/Mercury_7245840,În ce eveniment biologic se transformă energia chimică în energie mecanică?,B,bioluminescență,mișcarea musculară,fotosinteza,transferul impulsului nervos,
ARC-Challenge/test/TIMSS_2011_8_pg15,"Un bărbat a urcat pe vârful unui munte foarte înalt. Pe vârful muntelui, a băut toată apa din sticla lui deplastic și a pus capacul înapoi. Când s-a întors la tabără în vale, a descoperit că sticla goală s-a colapsat. Care dintre următoarele explicaţii este cea mai bună?",D,Presiunea aerului în vale este mai scăzută decât pe vârful muntelui.,Temperatura este mai mare în vale decât pe vârful muntelui.,Temperatura este mai scăzută în vale decât pe vârful muntelui.,Presiunea aerului în vale este mai mare decât pe vârful muntelui.,
ARC-Challenge/test/Mercury_404132,Care dintre următoarele este o ecuație chimică corect scrisă care demonstrează conservarea masei?,B,KClO_{3} -> KCl + O_{2},H_{2}O + CO_{2} -> H_{2}CO_{3},Mg + HCl -> H_{2} + MgCl_{2},H_{2} + O_{2} -> H_{2}O,
ARC-Challenge/test/Mercury_7081305,Două forțe acționează în direcții opuse asupra unui bloc de lemn. Ce se va întâmpla dacă forțele nu sunt echilibrate?,D,Masa blocului se va schimba.,Forțele își vor inversa direcția.,Blocul va echilibra forțele.,Poziția blocului se va schimba.,
ARC-Challenge/test/NCEOGA_2013_5_11,Care are cel mai mare efect asupra vitezei vântului?,D,direcția vântului,acoperirea norilor,precipitații,presiunea atmosferică,
ARC-Challenge/test/Mercury_7131530,"Un elev a amestecat puțin praf de sulf galben cu niște feromagnetici. El a putut să ia fierul din sulf folosind un magnet. Apoi a amestecat din nou fierul și sulf într-un tub de test și l-a încălzit. După ce s-a răcit, a îndepărtat substanța din tubul de test dar nu a putut separa fierul de sulf folosind magnetul. Ce tip de schimbare a avut loc în material atunci când a fost încălzit?",B,o schimbare fizică deoarece s-a format un compus,o schimbare chimică deoarece s-a format o nouă substanță,o schimbare fizică deoarece fierul a reacționat cu sulf,o schimbare chimică deoarece a trebuit să fie folosit un magnet,
ARC-Challenge/test/Mercury_SC_407689,Marshall a cercetat unele dintre schimbările de pe Pământ care au loc în timp. Care eveniment este cel mai probabil să cauzeze cel mai lent schimb pentru suprafața Pământului?,D,vulcan,alunecare de teren,cutremur,vânt,
ARC-Challenge/test/Mercury_7024290,Care dintre acestea nu face parte dintr-un atom?,B,nucleu,izotop,proton,electron,
ARC-Challenge/test/Mercury_7015208,Ce rol au plantele în ciclul carbonului?,B,folosesc carbonul și eliberează oxigen,folosesc zahăr și eliberează carbon,folosesc apă și eliberează carbon,folosesc carbonul și eliberează azot,
ARC-Challenge/test/Mercury_7247065,Care dintre următoarele nu este o consecință negativă a unui tornadou?,C,O creștere a nivelului apelor distrug cuiburi de broaște țestoase.,Habitatul animalelor suferă pierderi semnificative.,Copacii căzuți creează un risc de incendiu.,Debrisul creează habitate suplimentare pentru țânțari.,
ARC-Challenge/test/MSA_2015_8_30,Majoritatea fermierilor utilizează îngrășăminte pe câmpurile de porumb. Care dintre următoarele afirmații explică cel mai bine de ce fermierii nu ar trebui să utilizeze cantități excesive de îngrășăminte?,A,Îngrășămintele se pot evapora în aer.,Îngrășămintele pot fi utilizate de plantele invazive.,Îngrășămintele pot ajunge în râuri prin spălare.,Îngrășămintele pot proveni din materiale naturale.,
ARC-Challenge/test/AKDE&ED_2008_4_19,Care afirmație descrie un efect pozitiv al unei descoperiri științifice?,C,Aceasta ajută la explicarea modului în care funcționează lucrurile.,Este necesar mult timp pentru a fi utilă.,Aceasta îl face pe unii oameni supărați.,Aceasta determină munca să fie mai dificilă.,
ARC-Challenge/test/Mercury_SC_407315,Cum pot fi cele mai utile înregistrările de investigație?,A,Înregistrările exclud necesitatea de a repeta investigația.,Înregistrările dovedesc că investigația a fost efectuată de mai multe ori.,Înregistrările oferă indicii despre greșelile făcute în investigație.,Înregistrările fac ca rezultatele din investigație să fie exacte.,
ARC-Challenge/test/Mercury_7200340,Pentru a face o barcă să meargă înainte este nevoie de o forță care să învingă frecarea produsă de apă și de vânt. Care factor ajută cel mai mult la învingerea forțelor care acționează împotriva bărcii?,D,greutatea canotorilor din barcă,înălțimea lateralelor bărcii,lungimea bărcii,numărul de persoane care scullază în barcă,
ARC-Challenge/test/Mercury_7236513,"În secolul al XVII-lea, pentru a estima distanța până la alte planete, oamenii de știință au folosit inițial tehnica de a vizualiza planeta din două locații diferite de pe suprafața Pământului. Ce caracteristică a planetei au folosit oamenii de știință pentru a calcula distanța față de Pământ?",D,mărime,mișcare aparentă,luminozitate aparentă,locatie,
ARC-Challenge/test/Mercury_SC_407138,Care dintre acestea va forma sol nou cel mai rapid?,A,O piatră care stă într-o grădină.,Apa care curge într-un pârâu.,Un lemn care putrezește în pădure.,Valurile care se sparg pe o plajă.,
ARC-Challenge/test/Mercury_400803,"O barcă cu vele de jucărie alimentată de baterie, cu direcția spre sud pe un iaz, prinde vântul care bate dinspre est spre vest. Care este direcția în care se va deplasa barca cu vele?",D,sud-est,nord-vest,nord-est,sud-vest,
ARC-Challenge/test/AIMS_2009_8_14,Bromul (Br) este un lichid la temperatura camerei. Oxigenul (O) este un gaz la temperatura camerei. Temperatura camerei este de 25° C. Care dintre următoarele afirmații este adevărată?,A,Punctul de topire al oxigenului este mai cald decât temperatura camerei.,Punctul de fierbere al bromului este mai rece decât temperatura camerei.,Punctul de fierbere al oxigenului este mai rece decât temperatura camerei.,Punctul de topire al bromului este mai cald decât temperatura camerei.,
ARC-Challenge/test/Mercury_7001295,"Pentru a compara rezultatele unui experiment între diferite grupuri, fiecare grup trebuie",C,să folosească aceeași echipamente și proceduri.,să aibă membri diferiți care să înregistreze rezultatele.,să înceapă experimentul în același timp.,să efectueze un număr diferit de încercări.,
ARC-Challenge/test/Mercury_412774,"Un elev folosește o pai pentru a sufla bule într-o soluție de hidroxid de calciu. Dioxidul de carbon din respirația elevului reacționează cu apa pentru a forma un acid, care începe să neutralizeze soluția bazică. Care dintre următoarele descrie cel mai bine schimbarea inițială a pH-ului soluției?",C,scăderea pH-ului către un pH de 7,creșterea pH-ului departe de un pH de 7,creșterea pH-ului către un pH de 7,scăderea pH-ului departe de un pH de 7,
ARC-Challenge/test/NYSEDREGENTS_2015_4_26,"În primăvară și începutul verii, urșii își scarpină adesea spatele de arbori pentru a-și îndepărta blana de iarnă. Acesta este un exemplu de animal",C,răspunzând la mediul său înconjurător,începând hibernarea,încheindu-și ciclul de viață,pregătindu-se pentru migrație,
ARC-Challenge/test/MCAS_2006_8_13,"De la an la an, fermierii rotesc diferite culturi în câmpuri pentru a îmbunătăți nutrienții solului. De ce rotația culturilor este și o metodă eficientă de gestionare a dăunătorilor?",C,Întrerupe ciclurile de viață ale dăunătorilor.,Creează culturi rezistente la dăunători.,Permite substanțelor chimice să omoare mai mulți dăunători.,Permite dăunătorilor să se înmulțească excesiv.,
ARC-Challenge/test/Mercury_SC_405928,Care acțiune umană ajută la menținerea unei resurse regenerabile?,D,dirijarea scurgerii de îngrășăminte către iazuri,curățarea terenului pentru drumuri și clădiri,construirea centralelor electrice care utilizează cărbune ca combustibil,replantarea copacilor în zonele defrișate,
ARC-Challenge/test/Mercury_7227815,Care întrebare ar pune probabil cercetătorii care studiază organismele prokariote?,D,Cum transformă cloroplastele lumina în energie?,Ce rol joacă membrana celulară în stabilitate?,Cum elimină lizozomii bacteria din celule?,De ce sunt eficiente ribozomii în producerea de proteine?,
ARC-Challenge/test/Mercury_407125,Care dintre acestea este o schimbare fizică care are loc într-o grădină?,C,Râmele desfac solul în timp ce se mișcă prin el.,Florile cresc după ploaia de vară.,Insectele mănâncă frunzele unei plante pentru hrană.,Frunzele transformă lumina soarelui în zahăr prin fotosinteză.,
ARC-Challenge/test/Mercury_SC_405726,Care activitate ar ajuta la protejarea habitatelor naturale ale animalelor?,D,crearea unui parc zoologic pentru specii pe cale de dispariție,permisiunea pescuitului în mai multe râuri,construirea unui complex de apartamente,limitarea construcțiilor în zonele împădurite,
ARC-Challenge/test/AKDE&ED_2008_8_48,Ce proces va duce cel mai probabil la acceptarea științifică a unei ipoteze?,A,dezvoltarea unei teorii pe baza datelor,revizuirea ipotezei inițiale,duplicarea rezultatelor unui experiment,înlocuirea procedurilor experimentale,
ARC-Challenge/test/Mercury_400811,"Pentru a produce lumină, atomii dintr-o lampă transformă energia electrică în ce alt tip de energie?",D,mecanică,chimică,căldură,electromagnetică,
ARC-Challenge/test/Mercury_7188580,"Vulturii aurii pot vedea obiecte mici de la mari distanțe. Ce comportament al vulturilor aurii explică cel mai bine de ce selecția naturală, probabil, a favorizat această adaptare structurală?",A,Descendenții depind de hrănirea părinților după eclozare.,Își construiesc cuiburile pe stânci sau aflorimente de stâncă.,Vânătoarea se face în timpul zborului.,Culoarea penajului lor lipsește camuflajul ambiental.,
ARC-Challenge/test/Mercury_416633,Asupra căruia dintre următoarele componente ale smogului oamenii au cel mai puțin control?,A,amoniacul,dioxidul de sulf,vaporii de apă,oxizii de azot,
ARC-Challenge/test/MDSA_2013_8_20,Energiea se transformă sau este transferată prin acțiunea forțelor. Un exemplu de energie cinetică care se transformă în energie potențială este,C,un automobil care este condus în sus pe o pantă și parcat,o persoană care aleargă în jurul unei piste,o stâncă așezată pe o stâncă,o bandă de cauciuc care este întinsă și ruptă,
ARC-Challenge/test/Mercury_7086748,Care dintre acestea este cel mai necesar pentru producerea de energie geotermală?,A,coaja groasă,combustibil fosil,roca fierbinte,climat cald,
ARC-Challenge/test/Mercury_415082,Arturo a alergat o cursă de 3.000 de metri. Timpul său de alergare de la început până la sfârșit a fost de 10 minute. Care a fost viteza medie a lui Arturo?,A,100 m/s,50 m/s,5 m/s,300 m/s,
ARC-Challenge/test/Mercury_SC_400057,"În unele parcuri naționale din Statele Unite, urșii negri și-au pierdut teama de oameni și caută hrană lângă camping-uri de-a lungul drumului. Aceasta este un exemplu de comportament al unui animal",D, găsind un ecosistem nou., folosind trăsăturile moștenite., devenind un erbivor., învățând un comportament nou.,
ARC-Challenge/test/NYSEDREGENTS_2015_4_11,Ce transfer de energie are loc atunci când un student suflă într-un fluier?,D,căldură în mecanică,lumină în electrical,electrical în sunet,mecanic în sunet,
ARC-Challenge/test/Mercury_7267523,Care dintre următoarele dezastre naturale este cel mai probabil să ducă la o cale îngustă de distrugere prin pădure?,B,un uragan,un tornadă,o inundație,un cutremur,
ARC-Challenge/test/Mercury_7008610,Care este o schimbare fizică?,D,rugina care se formează pe o gardă de fier,un acoperiș de cupru care își schimbă culoarea,o bucată de lemn care arde,o foaie de hârtie care se sfâșie,
ARC-Challenge/test/Mercury_184818,"Dacă un organism s-ar dezvolta într-un mediu cu un câmp gravitațional mai mare decât cel al Pământului, care adaptare ar beneficia cel mai mult organismul?",D,membre scurte și subțiri,membre lungi și puternice,membre lungi și subțiri,membre scurte și puternice,
ARC-Challenge/test/Mercury_SC_405880,Care activitate este un exemplu de conservare a resurselor nerenovabile?,A,folosirea unui calculator alimentat de la panouri solare,compostarea tăierilor de gazon,a împărți mașina cu colegii la serviciu,udarea gazonului dimineața,
ARC-Challenge/test/Mercury_7041423,"În regiunile în care vânturile predominante suflă dinspre ocean către țărm, care dintre acestea este cel mai probabil să se întâmple?",A,temperaturi scăzute,condiții mai uscate,ploi mai abundente,uragane frecvente,
ARC-Challenge/test/NYSEDREGENTS_2008_4_26,Care este afirmația care demonstrează cum oamenii au modificat mediul natural?,C,O pădure este tăiată pentru a face loc plantării de grâu.,Energia Soarelui ajută la creșterea plantei de grâu.,Vântul și ploaia distrug plantele de grâu.,Semnata în aer a semințelor de grâu de către vânt.,
ARC-Challenge/test/Mercury_7058415,"Când aerul rece este în vârfurile munților, acesta",A,este considerat a fi mai puțin dens decât aerul cald.,va curge spre zonele de presiune mai mare din văi.,va curge spre zonele de presiune mai mică din văi.,este considerat a fi lipsit de atomi de oxigen.,
ARC-Challenge/test/Mercury_405143,Mașinile sunt propulsate de benzină făcută din petrol. Care este cea mai bună metodă de conservare a benzinei?,C,mergeți cu bicicleta la școală,mergeți cu autobuzul la școală,mergeți cu mașina la școală împreună cu alți colegi,mergeți singur cu mașina la școală,
ARC-Challenge/test/ACTAAP_2013_7_2,De ce este structura unei celule de spermatozoid foarte diferită de structura unei celule ovariene?,A,O celulă ovariană trebuie să se deplaseze pentru a ajunge la spermatozoid.,O celulă ovariană trebuie să se dividă în mai multe celule spermatozoide separate.,Un spermatozoid trebuie să se deplaseze pentru a ajunge la celula ou.,Un spermatozoid trebuie să se combine cu multe celule ou diferite.,
ARC-Challenge/test/Mercury_7099330,O stea produce energie printr-un proces numit fuziune nucleară. Care aspect al unei stele permite procesului de fuziune să aibă loc?,D,temperatura suprafeței,strălucire aparentă,viteza de rotație,compoziția chimică,
ARC-Challenge/test/Mercury_415093,Care dintre aceste ecuații chimice demonstrează legea conservării masei în cazul combustiei etanului?,D,2C_{2}H_{6} + 5O_{2} -> 4CO_{2} + 4H_{2}O,C_{2}H_{6} + 5O_{2} -> 2CO_{2} + 3H_{2}O,C_{2}H_{6} + 3O_{2} -> 2CO_{2} + 3H_{2}O,2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O,
ARC-Challenge/test/Mercury_411729,Un atom al cărui element conține un proton în plus față de un atom de clor (Cl) este:,B,fluor (F),argon (Ar),sulfură (S),brom (Br),
ARC-Challenge/test/Mercury_7009993,O stea gigant roșie se diferențiază de stelele de secvență principală deoarece,A,are o densitate și gravitație mai mari.,este întotdeauna mai mare decât alte soare.,arde la o temperatură mai scăzută.,fusează hidrogen pentru a produce heliu.,
ARC-Challenge/test/Mercury_7041668,Care este activitatea umană care afectează direct calitatea resurselor de apă dulce?,D,aruncarea gunoiului pe geamul mașinii,arderea benzinei în motoarele automobilelor,epuizarea stratului de ozon,permisiunea de scurgere a apelor de pe terenurile agricole,
ARC-Challenge/test/Mercury_175840,Care este funcția principală a peretelui celular într-o celulă vegetală?,B,pentru a conține părțile celulei,pentru a oferi suport structural,în scopul de a se proteja împotriva bolilor,pentru a ajuta la diviziunea celulară,
ARC-Challenge/test/Mercury_7057085,Care informație ajută cel mai bine un meteorolog să prezică posibilitatea dezvoltării tornadelor într-o anumită zonă?,B,procentul de umiditate din aer,tipul de nori de pe cer,starea curentă a vântului,cantitatea de precipitații,
ARC-Challenge/test/MCAS_1998_4_23,"Melinda a privit pe fereastra ei într-o noapte și a văzut o stea foarte strălucitoare chiar deasupra coroanei unui copac. Târziu în acea noapte, când a privit din nou afară, steaua dispăruse. Care VARIANTĂ explică cel mai bine ce s-a întâmplat?",A,Stea trebuie să fi ars.,Unele stele strălucesc doar câteva ore în fiecare noapte.,Pământul se rotește astfel încât stelele par să se miște.,Unele stele se mișcă mai repede decât altele.,
ARC-Challenge/test/Mercury_SC_400661,"Într-un ecosistem forestier, nișa unei populații de veverițe este",D,să recicleze nutrienții din sol.,să polenizeze florile.,să descompună.,să colecteze ghinde și să le îngroape în sol.,
ARC-Challenge/test/Mercury_SC_413240,La ce temperatură îngheață apa?,A,100 de grade Celsius,32 grade Fahrenheit,0 grade Celsius,212 de grade Fahrenheit,
ARC-Challenge/test/OHAT_2009_8_36,De ce sunt numite combustibilii fosili resurse nerenovabile?,C,Ei necesită un timp foarte lung pentru a fi produși.,Ei sunt îngropați adânc în pământ.,Ei produc deseuri reziduale.,Ei sunt mai costisitori decât combustibilii nucleari.,
ARC-Challenge/test/TIMSS_2011_4_pg27,"Apa, gheața și aburul au temperaturi diferite. Care este ordinea de la cea mai rece la cea mai cald?",A,"abur, gheață, apă","gheață, abur, apă","gheață, apă, abur","abur, apă, gheață",
ARC-Challenge/test/VASoL_2009_3_22,Care dintre următoarele afirmatii descrie cum arata un mar?,D,Are forma dreptunghiulara.,Este albastru.,Este moale.,Este neted.,
ARC-Challenge/test/Mercury_SC_408748,Pat învață cum energia circulă într-un ecosistem. Pat înțelege că animalele obțin energie din plante. Ce fac plantele care permit animalelor să obțină energie de la ele?,D,Plantele oferă adăpost de la vreme.,Plantele eliberează azot în sol.,Plantele păstrează apa în rădăcinile lor.,Plantele fac zahăr în prezența luminii.,
ARC-Challenge/test/Mercury_7222600,"Dincolo de ecuator spre nord, clima caldă și umedă este înlocuită de o climă caldă și uscată. Care este factorul care determină granița dintre aceste două tipuri de climă?",C,modelele de circulație ale maselor regionale de aer,tipurile de vegetație locală,altitudinea deasupra nivelului mării,distanța până la cel mai apropiat lanț muntos,
ARC-Challenge/test/Mercury_402207,"Un bărbat cu o greutate de 60 de kilograme si un băiat cu o greutate de 25 de kilograme, ambii pe role, se împing unul pe altul folosindu-și mâinile. Care dintre următoarele descrie mișcarea celor doi oameni?",B,Bărbatul se mișcă mai departe dar cu aceeași viteză ca băiatul.,Băiatul se mișcă mai departe și mai rapid decât bărbatul.,Bărbatul se mișcă mai departe și mai rapid decât băiatul.,Băiatul se mișcă mai rapid dar pe aceeași distanță ca și bărbatul.,
ARC-Challenge/test/Mercury_SC_401373,Care este un exemplu de curgere a electricității într-un circuit pentru a produce sunet?,A,comutarea unui intrerupator pentru a aprinde o lumină,calcare pe o pernă pentru a deschide o ușă,apăsarea unui buton pentru a face sună telefonul,glisarea unei manete pentru a porni o pătură electrică,
ARC-Challenge/test/NYSEDREGENTS_2008_8_34,Care dintre afirmațiile de mai jos descrie cel mai bine schimbările de energie care apar în timp ce un copil alunecă pe o tobogană în josul unui deal abrupt acoperit cu zăpadă?,B,"Atât energia potențială, cât și energia cinetică scad.",Energia cinetică crește și energia potențială scade.,Energia cinetică scade și energia potențială crește.,"Atât energia potențială, cât și energia cinetică cresc.",
ARC-Challenge/test/Mercury_7130655,"Până de curând, se cunoștea doar o mică parte din ADN-ul uman care avea o funcție specifică. Restul ADN-ului era considerat neimportant. Dovezi noi sugerează acum că tot ADN-ul este necesar în anumite funcții genice. Care afirmație descrie cel mai bine semnificația acestor noi dovezi?",D,Furnizează dovezi că rezultatele științifice nu trebuie contestate.,Demonstrează că ADN-ul este mai puțin important decât s-a crezut inițial.,Va face studiul ADN-ului mult mai simplu.,Demonstrează că cunoștințele științifice sunt supuse schimbării.,
ARC-Challenge/test/Mercury_7234360,De ce marginile convergente au tendinta de a duce la formarea bazinelor sedimentare?,A,Marginile convergente comprimă și transformă rocile.,Marginile convergente provoacă erupții vulcanice.,Marginile convergente creează depresiuni.,Marginile convergente ciclizează sedimentele în astenosferă.,
ARC-Challenge/test/Mercury_7014333,"Anul luminii este utilizat pentru a descrie distanțele dintre Pământ și stelele altor stele decât soarele, deoarece Unitatea Astronomică este",A,nu este exactă.,prea mare.,prea mică.,nu este bine definită.,
ARC-Challenge/test/Mercury_400880,Ce schimbare a avut loc in urmatoarea reactie? K -> K^+,C,pierdere a unui electron,câștig a unui proton,pierdere a unui proton,câștig a unui electron,
